worker_id	latency	httpStatusCode	size
2	3701	200	139310
2	1919	200	139310
3	6841	200	139310
8	6841	200	139310
1	7108	200	139310
5	7189	200	139310
9	7274	200	139310
2	1657	200	139310
7	7339	200	139310
0	7361	200	139310
6	7388	200	139310
4	7794	200	139310
8	1841	200	139310
3	1843	200	139310
7	1581	200	139310
1	1818	200	139310
0	1705	200	139310
2	1796	200	139310
9	1931	200	139310
6	1984	200	139310
4	1760	200	139310
5	2406	200	139310
3	1729	200	139310
8	1810	200	139310
7	1584	200	139310
1	1676	200	139310
9	1577	200	139310
0	1723	200	139310
6	1774	200	139310
5	1866	200	139310
2	2388	200	139310
4	1913	200	139310
8	1500	200	139310
3	1595	200	139310
1	1470	200	139310
7	1591	200	139310
0	1723	200	139310
9	1734	200	139310
5	1651	200	139310
2	1737	200	139310
4	1782	200	139310
6	2113	200	139310
1	1594	200	139310
8	1747	200	139310
7	1835	200	139310
0	1656	200	139310
3	2160	200	139310
9	1685	200	139310
5	1575	200	139310
6	1506	200	139310
2	1579	200	139310
4	1534	200	139310
1	1596	200	139310
8	1842	200	139310
7	1727	200	139310
0	1574	200	139310
9	1667	200	139310
3	1712	200	139310
5	1716	200	139310
2	1640	200	139310
6	1862	200	139310
4	2149	200	139310
1	1888	200	139310
7	1571	200	139310
0	1637	200	139310
9	1538	200	139310
8	2017	200	139310
3	1964	200	139310
2	1702	200	139310
5	1875	200	139310
6	1741	200	139310
4	1540	200	139310
7	1735	200	139310
9	1573	200	139310
0	1948	200	139310
1	2192	200	139310
8	1818	200	139310
3	1578	200	139310
2	1571	200	139310
6	1563	200	139310
4	1819	200	139310
5	2020	200	139310
9	1399	200	139310
7	1852	200	139310
0	1656	200	139310
8	1587	200	139310
3	1643	200	139310
1	1925	200	139310
2	1649	200	139310
5	1573	200	139310
6	1946	200	139310
9	1730	200	139310
3	1493	200	139310
4	2272	200	139310
7	1803	200	139310
2	1501	200	139310
8	1843	200	139310
1	1734	200	139310
0	2021	200	139310
5	1756	200	139310
